filename,foreheadHorizEdges,foreheadVertEdges,eyeSidesHorizEdges,eyeSidesVertEdges,chinHorizEdges,chinVertEdges,emotion
3319.jpg,0,0,11,0,15,35,neutral
5310.jpg,0,0,7,0,10,23,anxious
1890.jpg,0,0,29,0,0,22,neutral
4132.jpg,0,0,12,0,4,26,happy
1591.jpg,0,0,9,0,0,28,sad
5972.jpg,0,0,3,0,2,17,happy
1927.jpg,0,0,2,0,0,23,happy
1718.jpg,0,0,8,0,11,26,angry
3672.jpg,0,0,5,0,0,14,neutral
211.jpg,0,0,0,0,0,14,confident
4478.jpg,0,0,7,0,0,15,neutral
3437.jpg,0,0,14,0,1,35,happy
4495.jpg,0,0,11,0,5,19,happy
2425.jpg,0,0,11,0,9,30,happy
1241.jpg,0,0,5,0,0,22,surprised
673.jpg,0,0,14,0,0,14,angry
4558.jpg,0,0,17,0,6,17,happy
662.jpg,0,0,15,0,0,27,anxious
2939.jpg,5,0,18,4,0,20,angry
999.jpg,0,0,7,0,17,29,happy
3537.jpg,4,0,10,0,0,0,neutral
6664.jpg,0,0,10,0,3,16,neutral
876.jpg,0,0,8,1,0,12,happy
6426.jpg,0,0,5,0,0,26,neutral
455.jpg,0,0,0,0,0,13,neutral
1946.jpg,0,0,17,0,5,13,angry
6726.jpg,0,0,10,0,8,24,angry
3060.jpg,0,0,10,0,10,21,anxious
3616.jpg,0,0,10,0,0,27,happy
2886.jpg,0,0,21,0,2,29,happy
5672.jpg,0,0,7,0,2,26,neutral
4290.jpg,0,0,5,0,0,20,surprised
6836.jpg,0,0,17,0,0,19,neutral
4938.jpg,0,0,13,0,9,28,happy
1690.jpg,0,0,4,0,4,37,surprised
243.jpg,0,0,10,0,0,24,happy
186.jpg,0,0,15,0,3,34,happy
5057.jpg,0,0,10,0,0,24,happy
3978.jpg,0,0,9,0,11,20,surprised
2249.jpg,0,0,20,0,1,32,happy
2958.jpg,0,0,10,0,5,27,sad
6041.jpg,0,0,10,0,0,21,surprised
4621.jpg,0,0,6,0,8,27,angry
6215.jpg,0,0,4,0,0,16,angry
1255.jpg,0,0,2,0,0,10,neutral
2230.jpg,0,0,18,0,2,33,happy
2179.jpg,0,0,8,0,0,28,happy
3471.jpg,0,0,18,0,4,24,happy
6231.jpg,0,0,11,0,16,18,happy
2320.jpg,0,0,4,0,14,19,neutral
3289.jpg,0,0,8,0,1,30,happy
6343.jpg,0,0,6,0,0,16,happy
891.jpg,0,0,8,0,0,17,neutral
5046.jpg,0,0,11,0,0,31,neutral
3846.jpg,0,0,3,0,7,33,happy
2008.jpg,0,0,6,0,14,20,happy
442.jpg,0,0,3,0,14,17,neutral
2374.jpg,0,0,13,0,0,22,angry
1055.jpg,0,0,9,0,5,20,neutral
4657.jpg,0,0,14,0,7,33,happy
6287.jpg,0,0,9,0,3,20,happy
144.jpg,0,0,10,0,0,25,happy
4783.jpg,0,0,7,0,2,18,happy
6430.jpg,0,0,11,0,0,19,happy
984.jpg,0,0,9,0,0,29,neutral
2839.jpg,0,0,9,0,0,32,happy
1314.jpg,0,0,7,0,0,24,happy
4179.jpg,0,0,0,0,16,7,anxious
1550.jpg,0,0,12,0,3,13,happy
353.jpg,0,0,4,0,12,23,happy
1684.jpg,0,0,11,0,0,20,happy
1706.jpg,0,0,0,0,0,7,neutral
6643.jpg,0,0,12,0,8,26,anxious
4556.jpg,0,0,10,0,12,29,angry
12.jpg,0,0,11,0,0,24,happy
6197.jpg,0,0,14,0,8,24,neutral
6407.jpg,0,0,9,0,3,27,surprised
2976.jpg,0,0,9,0,0,23,happy
1752.jpg,0,0,3,0,0,16,happy
6845.jpg,0,0,21,0,0,20,neutral
2041.jpg,0,0,14,0,1,9,neutral
6356.jpg,0,0,7,0,2,31,surprised
1479.jpg,0,0,13,0,23,34,neutral
2094.jpg,0,0,9,0,19,24,happy
5079.jpg,0,0,6,0,6,31,happy
4086.jpg,0,0,0,0,0,19,surprised
1968.jpg,0,0,11,0,11,26,confident
4191.jpg,0,0,9,0,9,28,happy
1162.jpg,2,0,9,0,0,13,happy
3372.jpg,0,0,9,0,2,10,happy
1876.jpg,0,0,14,0,0,24,neutral
4509.jpg,0,0,7,0,0,8,neutral
711.jpg,0,0,12,0,0,11,happy
2298.jpg,0,0,11,0,0,20,neutral
4987.jpg,0,0,7,0,0,15,happy
6034.jpg,0,0,8,0,0,25,happy
3906.jpg,0,0,15,0,4,35,happy
4658.jpg,0,0,14,0,0,25,angry
1537.jpg,0,0,16,0,0,28,happy
1464.jpg,0,0,14,0,1,46,happy
5145.jpg,0,0,16,0,0,28,anxious
5688.jpg,0,0,16,0,11,20,happy
2828.jpg,0,0,1,0,5,19,neutral
5808.jpg,0,0,15,0,0,5,neutral
5891.jpg,0,0,10,0,0,15,happy
4058.jpg,0,0,11,0,1,35,neutral
3909.jpg,0,0,12,0,5,12,surprised
2636.jpg,0,0,9,0,10,18,surprised
6564.jpg,0,0,9,0,0,26,anxious
1157.jpg,0,0,19,0,0,22,happy
2205.jpg,0,0,7,0,0,15,neutral
1205.jpg,0,0,0,0,0,9,happy
3303.jpg,0,0,12,0,0,14,neutral
4272.jpg,0,0,7,0,0,20,happy
5988.jpg,0,0,7,0,4,30,neutral
1563.jpg,0,0,13,0,17,29,neutral
6159.jpg,0,0,8,0,6,16,happy
5917.jpg,0,0,4,0,3,19,neutral
814.jpg,0,0,14,0,3,22,angry
4485.jpg,0,0,5,0,0,9,neutral
6569.jpg,0,0,11,0,0,32,happy
4103.jpg,0,0,11,0,7,22,happy
4336.jpg,0,0,12,0,3,11,happy
4731.jpg,0,0,11,0,1,26,sad
3831.jpg,0,0,9,0,15,23,happy
4333.jpg,2,0,14,0,5,20,confident
4695.jpg,0,0,11,0,4,33,happy
2274.jpg,0,0,13,0,8,29,neutral
159.jpg,0,0,4,0,0,10,neutral
1096.jpg,0,0,14,0,4,27,happy
2929.jpg,0,0,10,0,8,25,happy
5445.jpg,0,0,12,0,2,22,neutral
2414.jpg,0,0,12,0,20,32,happy
4815.jpg,0,0,10,0,1,30,happy
679.jpg,0,0,10,0,6,27,happy
366.jpg,0,0,13,0,2,19,neutral
6517.jpg,0,0,6,0,0,17,neutral
1219.jpg,0,0,10,0,2,18,neutral
1730.jpg,0,0,9,0,20,31,neutral
3910.jpg,0,0,5,0,0,9,happy
2034.jpg,0,0,11,0,0,19,happy
5768.jpg,0,0,12,0,5,23,happy
1487.jpg,0,0,14,0,0,7,happy
2518.jpg,2,0,11,0,0,35,happy
4589.jpg,0,0,14,0,0,31,happy
2324.jpg,0,0,10,0,5,24,happy
1860.jpg,0,0,6,0,0,1,neutral
4346.jpg,0,0,13,0,1,21,confident
821.jpg,0,0,7,0,0,18,happy
6140.jpg,0,0,19,0,0,28,happy
2848.jpg,1,0,11,2,0,10,anxious
6002.jpg,0,0,17,0,3,20,sad
3426.jpg,0,0,11,0,0,20,neutral
4761.jpg,0,0,9,0,2,14,sad
4076.jpg,0,0,16,3,0,43,happy
2758.jpg,0,0,8,0,0,23,confident
3589.jpg,0,0,6,0,0,22,sad
1022.jpg,0,0,0,0,0,14,confident
1838.jpg,0,0,12,3,0,27,angry
3927.jpg,0,0,6,0,0,6,confident
1559.jpg,0,0,17,0,3,23,happy
3868.jpg,0,0,9,0,1,6,happy
5841.jpg,0,0,10,2,1,19,happy
546.jpg,0,0,16,0,0,25,happy
4201.jpg,0,0,13,0,0,10,happy
534.jpg,0,0,11,0,9,29,sad
3645.jpg,0,0,10,0,9,17,neutral
6347.jpg,0,0,9,0,7,29,happy
1900.jpg,0,0,13,0,3,27,neutral
2892.jpg,0,0,11,0,0,15,confident
896.jpg,0,0,9,0,34,31,happy
1766.jpg,0,0,11,0,0,26,happy
6892.jpg,0,0,3,0,0,0,happy
1893.jpg,0,0,3,0,0,25,confident
3384.jpg,0,0,0,0,2,7,happy
3207.jpg,0,0,7,0,0,22,happy
2572.jpg,0,0,5,0,0,25,angry
6210.jpg,0,0,1,0,2,24,neutral
1936.jpg,0,0,12,0,12,22,confident
1762.jpg,0,0,8,0,0,12,happy
3814.jpg,0,0,8,14,0,15,happy
1641.jpg,0,0,11,0,2,30,happy
3061.jpg,0,0,1,0,2,19,happy
2304.jpg,0,0,11,0,0,20,neutral
584.jpg,0,0,15,0,0,24,neutral
1204.jpg,6,0,16,0,0,7,happy
1934.jpg,0,0,16,0,4,30,anxious
4482.jpg,0,0,11,0,0,20,anxious
3884.jpg,0,0,3,0,7,30,neutral
6936.jpg,0,0,7,0,0,22,happy
2606.jpg,0,0,10,0,0,6,happy
3727.jpg,0,0,6,0,3,25,happy
2256.jpg,0,0,0,0,1,12,happy
6878.jpg,0,0,20,0,3,36,happy
1244.jpg,0,0,15,0,10,23,neutral
354.jpg,0,0,18,0,8,25,neutral
2609.jpg,0,0,14,0,3,18,happy
4513.jpg,0,0,15,0,10,21,neutral
1830.jpg,0,0,12,0,1,17,happy
4870.jpg,0,0,10,0,7,27,happy
2122.jpg,0,0,8,0,0,31,sad
3772.jpg,0,0,13,0,0,26,happy
3988.jpg,0,0,19,0,0,28,happy
2511.jpg,0,0,14,0,2,17,neutral
912.jpg,0,0,8,0,0,23,happy
1376.jpg,0,0,7,0,0,24,happy
2505.jpg,0,0,2,0,0,22,happy
4967.jpg,0,0,6,0,5,21,happy
2471.jpg,0,0,8,0,4,24,happy
1697.jpg,0,0,7,0,3,24,neutral
657.jpg,0,0,3,2,6,26,happy
4527.jpg,0,0,7,0,1,17,happy
3114.jpg,3,0,12,0,0,18,happy
5939.jpg,0,0,3,0,5,16,happy
4983.jpg,0,0,7,0,1,26,neutral
1800.jpg,0,0,9,0,0,24,neutral
4727.jpg,0,0,15,0,0,26,happy
5083.jpg,0,0,2,0,0,14,happy
5524.jpg,0,0,6,0,2,20,happy
776.jpg,0,0,0,0,0,8,happy
2942.jpg,0,0,7,0,7,28,neutral
2910.jpg,0,0,9,0,8,23,happy
3684.jpg,0,0,9,0,0,19,anxious
5373.jpg,0,0,9,5,3,22,sad
3957.jpg,0,0,1,0,8,14,happy
303.jpg,0,0,2,0,0,21,confident
2837.jpg,0,0,9,0,4,28,happy
718.jpg,0,0,15,0,0,33,happy
1606.jpg,0,0,1,0,18,24,happy
2514.jpg,0,0,15,0,0,26,confident
2064.jpg,0,0,9,0,0,4,neutral
3609.jpg,0,0,13,0,0,21,happy
5378.jpg,0,0,9,12,29,29,happy
4519.jpg,0,0,7,0,2,25,happy
2133.jpg,0,0,14,0,0,0,neutral
4780.jpg,0,0,15,0,0,28,neutral
569.jpg,0,0,6,0,0,23,happy
2121.jpg,0,0,9,0,0,21,anxious
7000.jpg,0,0,11,0,0,33,anxious
5713.jpg,0,0,12,0,0,0,neutral
6591.jpg,0,0,16,0,0,28,neutral
2792.jpg,0,0,16,0,2,28,anxious
2813.jpg,0,0,6,0,0,16,neutral
